TIMESTAMP,CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
1704565629507032200,11.7,58.7,1408,631,0,2,0,1,0,0,0,0,0,0,0,0
1704565630522012700,13.8,58.7,599,765,0,2,0,0,0,0,0,0,0,0,0,0
1704565631535436700,17.7,58.7,528,738,0,3,0,0,0,0,0,0,0,0,0,0
1704565632547362700,12.6,58.7,510,734,0,0,0,0,0,0,0,0,0,0,0,0
1704565633562298400,11.3,58.7,1176,1020,0,0,0,0,0,0,0,0,0,0,0,0
1704565634574224700,14.7,58.7,830,680,0,0,0,0,0,0,0,0,0,0,0,0
1704565635593157400,12.4,58.7,1333,626,0,1,0,0,0,0,0,0,0,0,0,0
1704565636607120400,12.9,58.7,1064,710,0,0,0,0,0,0,0,0,0,0,0,0
1704565638135018300,11.6,58.7,1517,735,0,0,0,0,0,0,0,0,0,0,0,0
1704565638648994000,18.0,58.7,2155,805,0,1,0,0,0,0,0,0,0,0,0,0
1704565639671943600,12.3,58.7,1947,811,0,0,0,1,0,0,0,0,0,0,0,0
1704565640691378800,15.5,58.7,1762,791,0,1,0,15,0,0,0,0,0,0,0,0
1704565641713320700,15.9,58.7,1515,711,0,1,0,1,0,0,0,0,0,0,0,0
1704565642735288300,14.0,58.7,1426,494,0,1,0,0,2,0,0,0,0,0,0,0
1704565643754221400,12.6,58.7,1366,691,0,0,0,0,0,0,0,0,0,0,0,0
1704565644775155900,11.9,58.7,1373,673,0,0,1,0,0,0,0,0,0,0,0,0
1704565646303060700,13.6,58.7,1461,644,0,0,0,0,0,0,0,0,0,0,0,0
1704565646809030100,13.5,58.7,1630,699,0,1,0,1,0,0,0,0,0,0,0,0
1704565647825960700,14.0,58.7,1435,650,0,2,0,15,0,0,0,0,0,0,0,0
1704565648845425100,16.5,58.7,1119,698,0,2,0,4,0,0,0,0,0,0,0,0
1704565649865357500,13.3,58.7,1236,690,0,0,0,0,0,0,0,0,0,0,0,0
1704565650888293900,11.9,58.7,1149,744,0,1,0,0,0,0,0,0,0,0,0,0
