CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
25.6,67.4,1137,597,0,2,0,0,0,0,0,0,0,0,0,0
17.7,67.4,1064,515,0,2,0,0,0,0,0,0,0,0,0,0
12.7,67.4,1355,23,0,2,0,0,0,0,0,0,0,0,0,0
16.8,67.4,1378,443,0,1,0,0,0,0,0,0,0,0,0,0
11.6,67.4,1626,538,0,0,0,0,0,0,1,0,0,0,0,0
12.1,67.4,1582,512,0,1,0,0,0,0,0,0,0,0,0,0
14.5,67.4,1064,941,0,1,0,0,0,0,0,0,0,0,0,0
11.8,67.4,1287,977,0,2,0,0,0,0,0,0,0,0,0,0
14.2,67.4,973,881,0,2,0,0,0,0,0,0,0,0,0,0
14.5,67.4,1288,875,0,1,1,0,0,0,0,0,0,0,0,0
17.6,67.4,1501,750,0,0,0,0,0,0,0,0,0,0,0,0
22.9,67.4,555,1119,0,2,0,0,0,0,0,0,0,0,0,0
15.6,67.4,1012,757,0,2,0,0,0,0,0,0,0,0,0,0
13.5,67.4,872,617,0,2,0,0,0,0,0,0,0,0,0,0
15.9,67.4,909,797,0,2,0,0,0,0,0,0,0,0,0,0
35.0,67.8,938,775,0,2,0,0,0,0,0,0,0,0,0,0
21.1,67.9,976,863,0,2,0,0,0,0,0,0,0,0,0,0
11.4,67.8,1195,744,0,0,0,0,0,0,1,0,0,0,0,0
16.3,67.8,768,837,0,1,0,0,0,0,0,0,0,0,0,0
15.5,67.8,515,1150,0,2,0,0,0,0,0,0,0,0,0,0
13.6,67.8,900,722,0,1,0,0,3,0,0,0,0,0,0,0
16.9,67.8,1104,742,0,2,0,0,0,3,0,0,0,0,0,0
12.5,67.7,698,773,0,4,0,2,0,0,2,0,0,0,0,0
16.1,67.7,625,1039,0,3,1,0,0,0,0,0,0,0,0,0
11.9,67.6,543,1104,0,4,0,0,0,0,1,0,0,0,0,0
22.4,67.8,882,800,0,0,0,0,0,0,0,0,0,0,0,0
21.6,67.8,1680,849,0,0,0,0,0,0,0,0,0,0,0,0
13.1,67.8,1648,606,0,0,0,0,0,0,0,0,0,0,0,0
17.0,67.8,1796,584,0,0,0,0,0,0,0,0,0,0,0,0
11.3,67.8,1538,573,2,0,0,0,0,0,0,0,0,0,0,0
12.6,67.8,1381,1178,0,0,0,0,0,0,0,0,0,0,0,0
19.7,67.8,1335,1161,0,0,0,0,0,0,0,0,0,0,0,0
13.3,67.8,1335,1161,0,0,0,0,0,0,0,0,0,0,0,0
11.8,67.8,709,505,0,0,0,0,0,0,0,0,0,0,0,0
12.6,67.7,1180,745,0,0,0,0,0,0,0,0,0,1,0,0
23.5,67.7,1971,800,0,0,0,0,0,0,0,0,0,5,0,0
20.9,67.8,2245,1113,0,0,0,0,0,0,0,0,0,3,0,0
16.5,67.3,1076,856,0,4,0,0,0,0,0,0,0,0,0,0
12.8,67.3,1004,936,0,2,0,0,0,0,0,0,0,0,0,0
12.7,67.3,1004,936,0,0,0,0,0,0,0,0,0,1,0,0
17.1,67.3,999,1003,0,2,0,0,0,0,0,0,0,15,0,0
12.6,67.3,999,1003,0,3,0,0,0,0,0,0,0,16,0,0
16.1,67.3,464,1132,0,2,0,0,0,0,0,0,0,0,0,0
25.4,67.4,1390,769,0,3,0,0,0,0,0,0,0,0,0,0
11.9,67.3,1389,769,0,0,0,0,0,0,0,0,0,0,0,0
12.8,67.3,1413,742,0,0,0,0,0,0,0,0,0,14,0,0
11.8,67.3,1673,584,0,0,0,0,0,0,0,0,0,5,0,0
12.8,67.3,1387,912,0,1,0,0,0,0,0,0,0,0,0,0
11.9,67.2,1330,507,0,2,0,0,0,0,0,0,0,0,0,0
14.3,67.3,1482,552,0,1,0,0,0,0,0,0,0,0,0,0
11.8,67.3,1440,1439,0,0,0,0,0,0,0,0,0,0,0,0
15.9,67.3,1338,1038,0,0,0,0,0,0,0,0,0,0,0,0
12.8,67.3,738,1226,0,1,0,0,0,0,0,0,0,0,0,0
11.1,67.3,1044,770,0,0,0,0,0,0,0,0,0,0,0,0
12.8,67.2,1082,474,0,3,0,0,0,0,0,0,0,0,0,0
14.0,67.3,1122,287,0,1,0,0,0,0,0,0,0,0,0,0
17.5,67.3,1373,494,0,0,0,0,1,0,0,0,0,0,0,0
19.2,67.3,1130,676,0,3,0,2,0,0,2,0,0,0,0,0
13.5,67.3,1044,725,0,2,1,0,0,0,0,0,0,0,0,0
31.4,67.6,986,599,0,4,0,0,0,0,2,0,0,0,0,0
25.9,67.6,1161,837,0,2,0,0,0,0,2,0,0,0,0,0
11.4,67.6,1089,879,0,2,0,0,0,0,0,0,0,0,0,0
18.1,67.6,975,756,0,3,0,3,0,0,2,0,0,0,0,0
10.6,67.6,1163,558,0,2,0,0,0,0,1,0,0,0,0,0
13.8,67.6,1115,647,0,1,0,0,0,0,1,0,0,0,0,0
11.8,67.6,778,515,0,3,0,0,0,0,0,0,0,0,0,0
13.5,67.6,1035,368,0,3,0,0,0,0,0,0,0,0,0,0
16.9,67.5,1048,217,0,2,0,0,0,0,0,0,0,0,0,0
15.1,67.3,1199,85,0,2,0,0,0,0,0,0,0,0,0,0
22.1,67.5,1467,589,0,1,0,0,0,0,0,0,0,0,0,0
14.1,67.5,1129,579,0,0,0,0,0,0,1,0,0,0,0,0
10.4,67.6,878,601,0,1,0,0,0,0,0,0,0,0,0,0
17.8,67.6,1382,877,0,1,0,0,0,0,0,0,0,0,0,0
13.5,67.5,1537,816,0,1,0,0,0,0,0,0,0,0,0,0
13.1,67.5,1225,615,0,0,0,0,0,0,1,0,0,0,0,0
15.4,67.5,1104,566,0,2,0,0,0,0,0,0,0,0,0,0
14.3,67.5,1201,788,0,1,0,0,0,0,0,0,0,0,0,0
15.9,67.5,1168,584,0,0,0,1,0,0,0,0,0,0,0,0
13.9,67.5,1323,909,0,1,0,0,0,0,0,0,0,0,0,0
13.5,67.5,1203,808,0,3,0,0,1,0,0,0,0,0,0,0
16.6,67.4,1257,686,0,3,2,1,0,0,0,0,0,0,0,0
12.8,67.4,1241,733,0,3,0,1,0,0,1,0,0,0,0,0
16.5,67.4,1232,679,0,2,0,0,0,0,2,0,0,0,0,0
11.3,67.4,1186,700,0,2,0,0,0,0,0,0,0,0,0,0
13.1,67.4,960,512,0,2,0,0,0,0,0,0,0,0,0,0
18.2,67.4,1252,700,0,0,0,0,0,0,0,0,0,0,0,0
11.7,67.4,1574,630,0,1,0,0,0,0,0,0,0,0,0,0
15.9,67.4,1231,544,0,1,0,0,0,0,1,0,0,0,0,0
14.1,67.4,1417,728,0,1,1,0,0,0,0,0,0,0,0,0
16.5,67.4,1376,512,0,2,0,1,0,0,1,0,0,0,0,0
16.3,67.4,1510,487,0,2,0,0,0,0,0,0,0,0,0,0
15.0,67.4,2248,91,0,1,0,0,0,0,0,0,0,0,0,0
10.9,67.4,1358,551,0,2,0,0,0,0,0,0,0,0,0,0
18.4,67.4,993,685,0,1,0,0,0,0,0,0,0,0,0,0
12.8,67.4,1112,685,0,0,0,0,0,0,0,0,0,0,0,0
15.5,67.4,605,654,0,1,0,1,0,0,1,0,0,0,0,0
18.2,67.4,1075,781,0,1,0,0,0,0,1,0,0,0,0,0
15.2,67.4,810,818,0,1,0,0,0,0,0,0,0,0,0,0
