CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
14.1,61.6,1562,758,0,0,0,0,0,0,0,0,0,0,0,0
22.6,61.6,1460,670,0,0,0,1,0,0,0,0,0,0,0,0
15.3,61.6,1302,629,0,0,0,0,0,0,0,0,0,0,0,0
17.6,61.6,1205,695,0,0,0,0,0,0,0,0,0,0,0,0
20.3,61.6,1209,656,0,2,0,0,0,0,0,0,0,0,0,0
20.2,61.7,1183,726,0,2,0,0,0,0,0,0,0,0,0,0
17.7,61.7,1173,735,0,3,0,0,0,0,0,0,0,0,0,0
15.4,61.7,1129,748,0,3,0,0,0,0,0,0,0,0,0,0
18.2,61.7,1153,736,0,2,0,0,0,0,0,0,0,0,0,0
13.7,61.6,1161,733,0,3,0,0,0,0,0,0,0,0,0,0
19.6,61.6,1687,570,0,1,0,0,0,0,0,0,0,0,0,0
13.9,61.6,1066,717,0,1,0,0,0,0,0,0,0,0,0,0
17.1,61.6,1047,685,0,0,0,1,0,0,0,0,0,0,0,0
16.3,61.6,1320,448,0,2,0,0,0,0,0,0,0,0,0,0
14.3,61.6,1300,459,0,0,0,0,1,0,0,0,0,0,0,0
18.3,61.6,1309,457,0,0,0,0,0,0,0,0,0,0,0,0
15.6,61.6,1270,670,0,3,0,0,0,0,0,0,0,0,0,0
22.0,61.6,1341,595,0,1,0,0,1,0,0,0,0,0,0,0
21.2,61.6,1531,567,0,1,1,0,0,0,0,0,0,0,0,0
21.6,61.6,1380,634,0,2,0,0,0,0,0,0,0,0,0,0
19.3,61.6,1424,611,0,1,0,0,0,0,0,0,0,0,0,0
18.9,61.6,1427,611,0,0,0,1,0,0,0,0,0,0,0,0
23.7,61.6,1566,563,0,0,2,0,0,0,0,0,0,0,0,0
19.4,61.6,1306,670,0,3,0,0,0,0,0,0,0,0,0,0
17.8,61.7,1415,651,0,2,0,0,0,0,0,0,0,0,0,0
13.8,61.7,1300,622,0,2,0,0,0,0,0,0,0,0,0,0
20.0,61.7,1285,634,0,2,0,0,0,0,0,0,0,0,0,0
20.2,61.6,1101,743,0,2,0,0,0,0,0,0,0,0,0,0
24.0,61.7,1124,720,0,1,0,0,0,0,0,0,0,0,0,0
19.4,61.7,1278,619,0,2,0,0,0,0,0,0,0,0,0,0
20.6,61.7,1282,577,0,2,0,0,0,0,0,0,0,0,0,0
15.8,61.7,1385,457,0,2,0,0,0,0,0,0,0,0,0,0
19.0,61.6,1368,476,0,0,0,0,0,0,0,0,0,0,0,0
20.2,61.6,1164,346,0,1,0,0,0,0,0,0,0,0,0,0
16.1,61.6,871,1119,0,0,0,0,0,0,0,0,0,0,0,0
16.9,61.6,1397,579,0,1,0,0,0,0,0,0,0,0,0,0
16.6,61.6,1210,466,0,0,0,0,0,0,0,0,0,0,0,0
28.2,61.6,793,755,0,0,0,0,0,0,0,0,0,0,0,0
14.7,61.7,1335,297,0,0,0,0,0,0,0,0,0,0,0,0
17.8,61.6,1590,372,0,0,0,0,0,0,0,0,0,0,0,0
18.2,61.6,1321,436,0,2,0,0,0,0,0,0,0,0,0,0
14.4,61.6,1324,438,0,2,0,0,0,0,0,0,0,0,0,0
19.0,61.6,1304,496,0,1,0,0,0,0,0,0,0,0,0,0
15.0,61.6,1319,495,0,0,0,0,0,0,0,0,0,0,0,0
18.5,61.6,1319,495,0,1,0,0,0,0,0,0,0,0,0,0
16.3,61.6,1308,499,0,2,0,0,0,0,0,0,0,0,0,0
15.1,61.6,1304,499,0,3,0,0,0,0,0,0,0,0,0,0
15.8,61.6,1304,499,0,2,0,0,0,0,0,0,0,0,0,0
16.5,61.6,1293,502,0,2,0,0,0,0,0,0,0,0,0,0
18.1,61.6,1296,500,0,3,0,0,0,0,0,0,0,0,0,0
12.2,61.6,1284,507,0,2,0,0,0,0,0,0,0,0,0,0
22.6,61.6,1293,504,0,1,0,0,0,0,0,0,0,0,0,0
14.6,61.6,1282,514,0,3,0,0,0,0,0,0,0,0,0,0
23.5,61.6,1338,523,0,1,0,0,0,0,0,0,0,0,0,0
19.6,61.6,1311,521,0,2,0,0,0,0,0,0,0,0,0,0
17.6,61.7,1368,499,0,1,0,0,0,0,0,0,0,0,0,0
14.3,61.6,1346,514,0,3,0,0,0,0,0,0,0,0,0,0
16.1,61.6,1310,496,0,3,0,0,0,0,0,0,0,0,0,0
24.2,61.7,1287,490,0,2,0,0,0,0,0,0,0,0,0,0
19.2,61.6,1302,523,0,1,0,0,0,0,0,0,0,0,0,0
25.6,61.6,1268,526,0,2,0,0,0,0,0,0,0,0,0,0
16.3,61.6,1270,529,0,2,0,0,0,0,0,0,0,0,0,0
15.4,61.5,1250,526,0,2,0,0,0,0,0,0,0,0,0,0
16.4,61.6,1248,521,0,2,0,0,0,0,0,0,0,0,0,0
13.1,61.6,1256,515,0,2,0,0,0,0,0,0,0,0,0,0
19.3,61.6,1276,513,0,2,0,0,0,0,0,0,0,0,0,0
17.8,61.6,1271,519,0,3,0,0,0,0,0,0,0,0,0,0
18.3,61.6,493,1039,0,0,0,0,0,0,0,0,0,0,0,0
23.1,61.7,637,987,0,0,0,0,0,0,0,0,0,0,0,0
14.5,61.7,1024,1077,0,2,0,0,0,0,0,0,0,0,0,0
17.4,61.8,1114,1186,0,2,0,0,0,0,0,0,0,0,0,0
16.3,61.8,1210,613,0,1,0,0,0,0,0,0,0,0,0,0
13.4,61.8,1187,629,0,0,0,1,0,0,0,0,0,0,0,0
18.8,61.7,1189,515,0,0,0,0,0,0,0,0,0,0,0,0
16.4,61.7,1202,533,0,0,0,0,0,0,0,0,0,0,0,0
14.0,61.7,1172,588,0,1,0,0,0,0,0,0,0,0,0,0
17.5,61.7,1182,592,0,3,0,0,0,0,0,0,0,0,0,0
19.0,61.7,1271,614,0,2,0,0,0,0,0,0,0,0,0,0
15.3,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0
23.2,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0
21.9,61.8,1521,664,0,0,0,0,0,0,0,0,0,0,0,0
15.8,61.8,1521,664,0,0,0,0,0,0,0,0,0,0,0,0
15.8,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0
15.2,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0
20.6,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0
27.4,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0
15.7,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0
20.0,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0
15.4,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0
16.0,61.6,1521,664,0,0,0,0,0,0,0,0,0,0,0,0
15.6,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0
16.6,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0
16.1,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0
14.8,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0
16.0,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0
14.3,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0
23.3,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0
17.8,61.7,1671,541,0,0,0,0,0,0,0,0,0,0,0,0
19.6,61.7,2017,610,0,0,0,0,0,0,0,0,0,0,0,0
22.0,61.7,1845,414,0,0,0,0,0,0,0,0,0,0,0,0
19.0,61.7,1820,559,0,1,0,0,0,0,0,0,0,0,0,0
18.0,61.6,1992,597,0,1,0,0,0,0,0,0,0,0,0,0
16.3,61.7,2084,888,0,1,0,0,0,0,0,0,0,0,0,0
13.1,61.7,2075,873,0,1,0,0,0,0,0,0,0,0,0,0
16.5,61.7,2095,688,0,1,0,0,0,0,0,0,0,0,0,0
21.1,61.7,1976,561,0,3,0,0,0,0,0,0,0,0,0,0
17.8,61.7,1869,576,0,1,0,0,0,0,0,0,0,0,0,0
16.3,61.7,1673,528,0,1,0,0,0,0,0,0,0,0,0,0
22.9,61.7,1925,571,0,2,0,0,0,0,0,0,0,0,0,0
15.3,61.7,1958,634,0,3,0,0,0,0,0,0,0,0,0,0
21.1,61.8,1902,764,0,1,0,0,0,0,0,0,0,0,0,0
17.5,61.8,1213,1294,0,0,0,0,0,0,0,0,0,0,0,0
22.1,61.9,1201,1265,0,0,0,0,0,0,0,0,0,0,0,0
19.4,61.9,1772,621,0,2,0,0,0,0,0,0,0,0,0,0
17.8,61.9,1842,695,0,3,0,0,0,0,0,0,0,0,0,0
18.3,61.9,1630,619,0,2,0,0,0,0,0,0,0,0,0,0
15.8,62.0,1913,754,0,2,0,0,0,0,0,0,0,0,0,0
19.7,62.0,1858,851,0,3,0,0,0,0,0,0,0,0,0,0
15.7,61.9,1884,596,0,1,0,0,0,0,0,0,0,0,0,0
14.1,61.9,1855,716,0,1,0,0,0,0,0,0,0,0,0,0
14.0,61.9,1828,716,0,1,0,0,0,0,0,0,0,0,0,0
19.4,61.8,1743,588,0,1,0,0,0,0,0,0,0,0,0,0
19.5,61.8,1731,562,0,1,0,0,0,0,0,0,0,0,0,0
18.4,61.8,1683,601,0,0,0,0,0,0,0,0,0,0,0,0
14.2,61.8,1948,656,0,0,0,0,0,0,0,0,0,0,0,0
14.6,61.8,1696,745,0,0,0,0,0,0,0,0,0,0,0,0
15.2,61.8,1504,702,0,0,0,0,0,0,0,0,0,0,0,0
19.3,61.9,1508,940,0,0,0,0,0,0,0,0,0,0,0,0
20.9,61.9,1362,734,0,1,0,0,0,0,0,0,0,0,0,0
21.4,61.9,1343,735,0,1,0,0,0,0,0,0,0,0,0,0
14.5,61.9,1240,771,0,1,0,0,0,0,0,0,0,0,0,0
20.6,61.9,1311,833,0,0,0,0,0,0,0,0,0,0,0,0
13.8,61.9,1242,782,0,0,10,0,0,0,0,0,0,0,0,0
16.8,61.8,1483,557,0,0,0,0,0,0,0,0,0,0,0,0
19.1,61.9,1445,559,0,0,0,1,0,0,0,0,0,0,0,0
15.8,61.9,1293,591,0,1,0,0,0,0,0,0,0,0,0,0
23.2,61.9,1201,576,0,2,0,0,0,0,0,0,0,0,0,0
17.7,61.9,1250,592,0,3,0,0,0,0,0,0,0,0,0,0
24.6,61.1,1246,624,0,2,0,1,0,0,0,0,0,0,0,0
16.3,61.1,1381,663,0,2,0,1,0,0,0,0,0,0,0,0
10.7,61.0,1333,660,0,2,0,8,0,0,0,0,0,0,0,0
16.1,61.0,1272,690,0,2,0,16,0,0,0,0,0,0,0,0
16.0,61.1,1251,681,0,1,0,15,0,0,0,0,0,0,0,0
16.6,61.0,1293,680,0,0,0,1,0,0,0,0,0,0,0,0
18.2,61.0,1296,681,0,0,0,0,1,0,0,0,0,0,0,0
18.4,61.0,1397,601,0,3,0,1,0,0,0,0,0,0,0,0
17.8,61.1,1264,690,0,1,0,4,0,0,0,0,0,0,0,0
18.2,61.1,1379,590,0,2,0,0,0,0,0,0,0,0,0,0
20.1,61.0,1293,533,0,3,0,1,0,0,0,0,0,0,0,0
16.6,61.0,1433,512,0,1,0,0,1,0,0,0,0,0,0,0
17.1,61.0,1428,521,0,0,0,0,1,0,0,0,0,0,0,0
19.1,61.0,1233,600,0,0,0,0,0,0,0,0,0,0,0,0
22.1,61.0,1220,554,0,3,0,0,0,0,0,0,0,0,0,0
15.4,61.0,1201,570,0,3,0,0,0,0,0,0,0,0,0,0
12.7,61.1,1252,584,0,1,0,0,0,0,0,0,0,0,0,0
15.9,61.0,1260,779,0,0,0,0,0,0,0,0,0,0,0,0
31.9,61.2,1169,851,0,0,0,0,0,0,0,0,0,0,0,0
19.9,61.1,1162,811,0,0,1,0,1,0,0,0,0,0,0,0
19.8,61.1,1071,829,0,0,0,0,0,0,0,0,0,0,0,0
17.2,61.1,1056,724,0,0,0,0,0,0,0,0,0,0,0,0
18.8,61.1,1545,612,0,0,0,0,0,0,0,0,0,0,0,0
23.9,61.1,1534,618,0,0,1,0,0,0,0,0,0,0,0,0
20.9,61.1,1328,594,0,0,0,0,0,0,0,0,0,0,0,0
18.9,61.1,1170,527,0,1,0,0,0,0,0,0,0,0,0,0
14.8,61.1,1058,547,0,1,0,0,0,0,0,0,0,0,0,0
15.3,61.1,1354,467,0,0,1,0,0,0,0,0,0,0,0,0
12.7,61.1,1359,457,0,1,0,0,0,0,0,0,0,0,0,0
22.1,61.1,1181,520,0,1,0,0,0,0,0,0,0,0,0,0
16.8,61.1,1429,644,0,2,0,0,0,0,0,0,0,0,0,0
22.0,61.1,1310,661,0,1,0,0,0,0,0,0,0,0,0,0
17.8,61.1,1149,746,0,1,0,0,0,0,0,0,0,0,0,0
15.8,61.1,1103,840,0,1,0,0,0,0,0,0,0,0,0,0
18.8,61.0,1021,780,0,2,0,0,0,0,0,0,0,0,0,0
14.6,61.1,1107,841,0,2,0,0,0,0,0,0,0,0,0,0
15.5,61.1,1241,690,0,2,0,0,0,0,0,0,0,0,0,0
15.0,61.1,1145,767,0,0,0,0,0,0,0,0,0,0,0,0
16.5,61.0,1128,657,0,1,0,0,0,0,0,0,0,0,0,0
18.0,61.1,1362,538,0,1,0,0,0,0,0,0,0,0,0,0
20.2,61.1,1408,485,0,2,0,0,0,0,0,0,0,0,0,0
16.5,61.1,1315,486,0,2,0,0,0,0,0,0,0,0,0,0
13.3,61.1,957,897,0,0,0,0,0,0,0,0,0,0,0,0
13.7,61.1,1370,633,0,0,0,0,0,0,0,0,0,0,0,0
16.6,61.1,1417,385,0,0,0,0,0,0,0,0,0,0,0,0
15.6,61.1,1423,398,0,2,0,0,0,0,0,0,0,0,0,0
18.9,61.1,1266,424,0,3,0,0,0,0,0,0,0,0,0,0
20.6,61.1,1185,446,0,2,0,0,0,0,0,0,0,0,0,0
19.5,61.1,1193,455,0,2,0,0,0,0,0,0,0,0,0,0
18.6,61.1,1153,471,0,3,0,0,0,0,0,0,0,0,0,0
19.8,61.1,1404,778,0,3,0,0,0,0,0,0,0,0,0,0
18.4,61.0,1332,776,0,3,0,0,0,0,0,0,0,0,0,0
13.0,61.1,1332,788,0,3,0,0,0,0,0,0,0,0,0,0
14.3,61.0,1315,797,0,2,0,0,0,0,0,0,0,0,0,0
18.1,61.0,1285,771,0,2,0,0,0,0,0,0,0,0,0,0
25.9,61.0,1234,763,0,2,0,0,0,0,0,0,0,0,0,0
20.6,61.0,1222,763,0,3,0,0,0,0,0,0,0,0,0,0
14.5,61.0,1029,623,0,0,0,0,0,0,0,0,0,0,0,0
15.8,61.0,1247,585,0,3,0,0,0,0,0,0,0,0,0,0
21.1,61.0,1413,780,0,2,0,0,0,0,0,0,0,0,0,0
20.0,61.0,1076,459,0,2,0,0,0,0,0,0,0,0,0,0
19.7,61.3,1027,720,0,2,0,0,0,0,0,0,0,0,0,0
18.1,61.1,1040,533,0,2,0,0,0,0,0,0,0,0,0,0
13.0,61.1,973,503,0,2,0,0,0,0,0,0,0,0,0,0
