TIMESTAMP,CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl,anomaly
1704586637193313900,11.6,60.0,396,964,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586638215747500,16.8,60.0,2559,616,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586639237685300,11.4,60.0,1734,673,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586640256114700,12.3,60.0,1493,627,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586641281046400,12.8,60.0,1486,598,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586642305977700,14.6,59.9,1860,527,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586643330412700,13.4,60.0,1876,364,0,2,0,0,1,0,0,0,0,0,0,0,0
1704586644353342700,18.8,59.9,2551,21,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586645373269500,13.9,59.9,1848,206,0,1,0,1,0,0,0,0,0,0,0,0,0
1704586646388222300,22.5,59.8,1689,232,0,1,0,0,0,0,0,0,0,0,0,0,0
1704586647407148600,12.2,59.8,1409,536,0,0,5,0,0,0,0,0,0,0,0,0,0
1704586648430078400,15.6,59.8,1060,434,0,4,0,0,0,0,0,0,0,0,0,0,0
1704586649454016200,11.8,59.7,863,453,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586650476946300,14.6,59.7,1587,402,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586651497874200,12.6,59.8,1359,564,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586652517826500,13.1,59.7,1157,456,0,1,0,0,0,0,1,0,0,0,0,0,0
1704586653538754900,15.3,59.7,1074,313,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586654561685200,11.6,59.7,1089,419,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586655583621400,17.4,59.7,1070,391,0,1,0,0,0,0,1,0,0,0,0,0,0
1704586656604565400,17.5,59.7,1281,293,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586657629000400,10.6,59.7,1207,483,0,0,9,0,0,0,0,0,0,0,0,0,0
1704586658649928300,16.3,59.7,1132,521,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586659674860000,10.6,59.7,946,569,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586660697294100,12.3,59.7,638,824,0,3,0,0,1,0,0,0,0,0,0,0,0
1704586661722226000,16.0,59.7,449,971,0,4,0,0,0,0,0,0,0,0,0,0,0
1704586662746660000,17.1,59.7,366,1435,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586663769590600,18.7,59.7,500,1363,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586664790036600,11.1,59.7,0,1253,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586665814968400,12.1,59.7,265,1098,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586666835896300,13.5,59.8,692,1062,0,1,0,0,0,0,0,0,0,0,0,0,0
1704586667856824300,21.1,59.8,641,1080,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586668881756400,15.1,59.8,480,1185,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586669906191300,13.9,59.7,535,1439,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586670929121000,11.4,59.8,743,505,0,0,6,0,0,0,0,0,0,0,0,0,0
