CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
11.5,68.7,1392,737,0,0,0,0,0,0,0,0,0,0,0,0
11.4,68.7,1412,679,0,0,0,0,0,0,0,0,0,0,0,0
13.7,68.7,1368,834,0,1,0,0,0,0,0,0,0,0,0,0
15.3,68.7,1352,556,0,2,0,0,0,0,0,0,0,0,0,0
13.5,68.7,1281,756,0,3,0,0,0,0,0,0,0,0,0,0
12.2,68.7,1525,559,0,0,0,0,0,0,0,0,0,0,0,0
14.1,68.6,1436,950,0,0,0,0,0,0,0,0,0,0,0,0
13.4,68.7,1517,752,0,1,0,1,0,0,1,0,0,0,0,0
19.7,68.6,1500,810,0,1,0,2,0,0,2,0,0,0,0,0
31.2,68.0,1032,1016,0,1,0,1,0,0,1,0,0,0,0,0
27.6,65.7,1018,820,0,2,0,0,0,0,1,0,0,0,0,0
13.1,65.7,1110,775,0,1,0,0,0,0,0,0,0,0,0,0
14.2,65.7,1284,947,0,2,0,0,0,0,0,0,0,0,0,0
17.3,65.7,803,821,0,2,0,0,0,0,0,0,0,0,0,0
13.3,65.7,1155,899,0,3,0,0,0,0,0,0,0,0,0,0
22.9,65.7,1442,676,0,1,0,0,0,0,0,0,0,0,0,0
16.8,65.7,898,658,0,1,0,0,0,0,0,0,0,0,0,0
15.9,65.7,2018,355,0,0,0,0,0,0,0,0,0,0,0,0
12.7,65.7,2219,143,0,1,0,0,0,0,0,0,0,0,0,0
13.7,65.7,1668,991,0,0,0,0,0,0,0,0,0,0,0,0
16.0,65.7,1235,726,0,0,0,0,0,0,0,0,0,0,0,0
15.1,65.7,827,568,0,1,0,0,0,0,0,0,0,0,0,0
11.7,65.8,828,507,0,2,0,0,0,0,0,0,0,0,0,0
17.6,65.8,838,510,0,3,0,0,0,0,0,0,0,0,0,0
17.0,65.7,1743,782,0,0,0,0,0,0,0,0,0,0,0,0
20.2,65.7,977,582,0,1,0,0,0,0,0,0,0,0,0,0
20.6,65.7,1089,697,0,2,0,0,0,0,0,0,0,0,0,0
14.8,65.8,1008,816,0,2,0,0,0,0,0,0,0,0,0,0
14.8,65.7,956,1123,0,2,0,0,0,0,0,0,0,0,0,0
19.1,65.8,692,909,0,1,0,0,0,0,0,0,0,0,0,0
16.9,65.7,525,953,0,0,0,0,0,0,0,0,0,0,0,0
15.3,65.7,859,866,0,2,0,0,0,0,0,0,0,0,0,0
15.0,65.8,902,862,0,0,0,0,0,0,1,0,0,0,0,0
20.3,65.7,999,1008,0,3,0,0,0,0,0,0,0,0,0,0
15.1,65.8,808,836,0,2,0,0,0,0,0,0,0,0,0,0
15.5,65.7,1264,555,0,0,0,0,0,0,1,0,0,0,0,0
27.1,65.8,1122,619,0,0,0,0,0,0,0,0,0,0,0,0
14.7,65.8,1046,662,0,0,0,0,0,0,0,0,0,0,0,0
13.1,65.8,1322,563,0,0,0,0,0,0,1,0,0,0,0,0
13.6,65.8,1300,898,0,1,0,1,0,0,0,0,0,0,0,0
16.8,65.8,1359,723,0,2,0,0,0,0,0,0,0,0,0,0
15.0,65.8,970,804,0,1,0,0,0,0,0,0,0,0,0,0
15.8,65.8,1286,641,0,0,0,0,0,0,0,0,0,0,0,0
15.3,65.8,1034,530,0,1,0,0,0,0,0,0,0,0,0,0
16.8,65.8,991,639,0,2,0,0,0,0,0,0,0,0,0,0
15.3,65.8,1290,536,0,0,0,0,0,0,1,0,0,0,0,0
15.1,65.8,2067,1086,0,2,0,0,0,0,0,0,0,0,0,0
15.6,65.8,994,936,0,2,0,0,0,0,0,0,0,0,0,0
15.5,65.8,1026,1032,0,2,0,0,0,0,0,0,0,0,0,0
17.9,65.8,1133,731,0,2,1,0,0,0,0,0,0,0,0,0
15.2,65.8,1059,799,0,0,0,0,0,0,0,0,0,0,0,0
15.3,65.8,936,927,0,2,0,0,0,0,0,0,0,0,0,0
13.8,65.8,1107,866,0,2,0,0,0,0,0,0,0,0,0,0
16.3,65.8,1174,901,0,3,0,0,0,0,0,0,0,0,0,0
13.5,65.8,1294,754,0,0,0,0,0,0,1,0,0,0,0,0
10.9,65.8,1221,809,0,2,0,0,0,0,0,0,0,0,0,0
19.5,65.8,1024,952,0,1,0,0,0,0,0,0,0,0,0,0
19.2,65.8,1025,793,0,1,0,0,0,0,0,0,0,0,0,0
17.6,65.8,1024,708,0,3,0,0,0,0,0,0,0,0,0,0
13.0,65.8,1296,691,0,1,1,2,0,0,1,0,0,0,0,0
17.7,65.8,1535,562,0,2,0,0,0,3,0,0,0,0,0,0
24.5,65.8,1422,584,0,1,0,2,0,0,2,0,0,0,0,0
14.2,65.9,1302,638,0,2,0,1,0,0,3,0,0,0,0,0
18.6,65.8,1285,655,0,3,0,2,0,0,2,0,0,0,0,0
18.0,65.8,1558,627,0,3,0,0,0,0,0,0,0,0,0,0
12.3,65.9,1223,775,0,2,0,1,0,0,1,0,0,0,0,0
13.6,65.8,1208,790,0,4,0,2,0,0,1,0,0,0,0,0
16.0,65.8,1157,416,0,2,0,0,0,0,0,0,0,0,0,0
13.3,65.8,1376,251,0,0,0,0,0,0,1,0,0,0,0,0
17.3,65.8,1115,505,0,0,0,0,0,0,0,0,0,0,0,0
14.8,65.8,1388,502,0,0,0,0,0,0,0,0,0,0,0,0
15.3,65.8,1307,512,0,0,0,0,0,0,1,0,0,0,0,0
13.4,65.8,1044,492,0,0,0,0,0,0,0,0,0,0,0,0
12.0,65.8,1313,504,0,0,0,0,0,0,1,0,0,0,0,0
15.0,65.8,1081,430,0,1,0,0,0,0,0,0,0,0,0,0
14.3,65.8,1397,436,0,1,0,0,0,0,0,0,0,0,0,0
14.2,65.8,1062,581,0,1,0,0,0,0,1,0,0,0,0,0
12.7,65.8,1318,588,0,0,0,0,0,0,0,0,0,0,0,0
14.3,65.8,1245,665,0,2,0,0,0,0,1,0,0,0,0,0
16.8,65.8,1415,583,0,0,0,1,0,0,1,0,0,0,0,0
15.2,65.8,1398,671,0,0,0,0,0,0,0,0,0,0,0,0
