TIMESTAMP,CPU,MEMORY,MOUSE_POSITION,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
1704412767063543400,16.3,64.0,"(1343, 1009)",0,0,0,0,0,0,0,0,0,0,0,0
1704412767578011000,13.3,64.1,"(1460, 860)",0,0,0,0,0,0,0,0,0,0,0,0
1704412768600941700,11.8,64.1,"(1671, 545)",0,0,0,0,0,0,0,0,0,0,0,0
1704412769622870300,15.8,64.2,"(1632, 499)",0,0,0,0,0,0,0,0,0,0,0,0
1704412771152764200,11.4,64.1,"(1573, 1087)",0,0,0,0,0,0,0,0,0,0,0,0
1704412771669233700,19.6,64.0,"(2260, 5)",0,0,0,0,0,0,0,0,0,0,0,0
1704412772692163600,11.6,64.0,"(2018, 582)",0,0,0,0,0,0,0,0,0,0,0,0
1704412773715093500,10.9,64.1,"(847, 810)",0,0,0,0,0,0,0,0,0,2,0,0
1704412774738023100,14.0,64.0,"(834, 818)",0,0,0,0,0,0,0,0,0,0,0,0
1704412775759455700,25.2,64.1,"(667, 1149)",0,0,0,0,0,0,0,0,0,0,0,0
1704412776785388200,19.7,63.2,"(905, 886)",0,0,0,0,0,0,0,0,0,1,0,0
1704412777804314500,12.8,63.3,"(627, 463)",0,0,0,0,0,0,0,0,0,15,0,0
1704412779336707700,13.1,63.2,"(751, 880)",0,0,0,0,0,0,0,0,0,0,0,0
1704412779852176200,21.4,63.2,"(447, 1126)",0,0,0,0,0,0,0,0,0,0,0,0
1704412780874608200,12.3,63.2,"(1883, 626)",0,0,0,0,0,0,0,0,0,0,0,0
1704412781898539800,17.9,63.3,"(1713, 748)",0,0,0,0,0,0,0,0,0,0,0,0
1704412782920468200,12.2,63.3,"(1693, 684)",0,0,0,0,0,0,0,0,0,0,0,0
1704412783943398600,16.8,63.2,"(2195, 226)",0,0,0,0,0,0,0,0,0,6,0,0
1704412784964829900,18.2,63.2,"(871, 658)",1,0,0,0,0,0,0,0,0,0,0,0
1704412785990763500,18.0,63.2,"(1642, 665)",2,0,0,0,0,0,0,0,0,0,0,0
1704412787011690900,12.2,63.2,"(1358, 1416)",0,0,0,0,0,0,0,0,0,0,0,0
1704412788030617400,14.0,63.3,"(1806, 332)",0,0,0,0,0,0,0,0,0,0,0,0
1704412789051545500,13.9,63.3,"(1922, 349)",0,0,0,0,0,0,0,0,0,1,0,0
1704412790074475100,38.9,63.2,"(1820, 399)",0,0,0,0,0,0,0,0,0,1,0,0
1704412791096918800,22.1,62.4,"(1263, 665)",0,1,0,0,0,0,0,0,0,0,0,0
1704412792121850200,28.8,63.0,"(235, 1015)",0,2,0,0,0,0,0,0,0,0,0,0
1704412793142778600,39.8,63.1,"(1113, 929)",1,0,0,0,0,0,0,0,0,0,0,0
1704412794167710200,13.8,63.2,"(1392, 711)",0,2,0,0,0,0,0,0,0,0,0,0
1704412795700607500,14.6,63.2,"(1392, 694)",0,0,0,0,0,0,0,0,0,0,0,0
1704412796217077000,15.5,63.3,"(1392, 694)",0,0,0,0,0,0,0,0,0,0,0,0
1704412797750471000,12.6,63.2,"(1392, 694)",0,0,0,0,0,0,0,0,0,0,0,0
1704412798769397300,13.7,63.2,"(1392, 694)",0,0,0,0,0,0,1,0,0,0,1,0
1704412799284865900,16.0,63.2,"(1392, 694)",0,0,0,0,0,0,0,0,0,0,0,0
1704412800812758800,14.3,63.2,"(1392, 694)",0,0,0,0,0,0,0,0,0,0,0,0
1704412801329228200,16.8,63.2,"(1392, 694)",0,0,0,0,0,0,0,0,0,0,0,0
1704412802354160100,13.6,63.2,"(1771, 601)",0,0,0,0,0,0,0,0,0,0,0,0
1704412803373086200,21.3,63.1,"(1576, 700)",0,3,0,0,0,0,0,0,0,0,0,0
1704412804899977900,15.4,63.2,"(369, 1107)",0,1,0,0,0,0,0,0,0,1,0,0
1704412805416447200,16.3,63.2,"(1004, 969)",0,0,0,0,0,0,0,0,0,10,0,0
1704412806437375300,21.6,63.1,"(1048, 883)",0,2,0,0,0,0,0,0,0,0,0,0
1704412807458303600,15.8,63.0,"(1065, 851)",0,3,0,0,0,0,0,0,0,0,0,0
1704412808483235700,17.4,63.0,"(1063, 851)",0,3,0,0,0,0,0,0,0,0,0,0
1704412809505164100,14.6,63.0,"(1046, 854)",0,2,0,0,0,0,0,0,0,0,0,0
1704412810528599100,12.4,63.0,"(849, 921)",0,2,1,0,0,0,0,0,0,0,0,0
